,fips,Recip_County,ST,Vax_Pct
698,18003,Allen County,IN,54.4
699,18005,Bartholomew County,IN,63.0
700,18007,Benton County,IN,43.5
701,18009,Blackford County,IN,49.0
702,18011,Boone County,IN,73.3
703,18013,Brown County,IN,52.6
704,18015,Carroll County,IN,37.8
705,18017,Cass County,IN,47.7
706,18019,Clark County,IN,62.7
707,18021,Clay County,IN,58.6
708,18023,Clinton County,IN,50.2
709,18025,Crawford County,IN,38.5
710,18027,Daviess County,IN,34.0
711,18029,Dearborn County,IN,64.4
712,18031,Decatur County,IN,49.6
713,18033,DeKalb County,IN,43.6
714,18035,Delaware County,IN,50.1
715,18037,Dubois County,IN,58.9
716,18039,Elkhart County,IN,44.7
717,18041,Fayette County,IN,41.8
718,18043,Floyd County,IN,58.7
719,18045,Fountain County,IN,48.3
720,18047,Franklin County,IN,39.4
721,18049,Fulton County,IN,41.3
722,18051,Gibson County,IN,47.8
723,18053,Grant County,IN,43.4
724,18055,Greene County,IN,42.6
725,18057,Hamilton County,IN,73.8
726,18059,Hancock County,IN,69.9
727,18061,Harrison County,IN,52.7
728,18063,Hendricks County,IN,74.9
729,18065,Henry County,IN,53.9
730,18067,Howard County,IN,49.2
731,18069,Huntington County,IN,52.0
732,18071,Jackson County,IN,55.2
733,18073,Jasper County,IN,49.4
734,18075,Jay County,IN,40.1
735,18077,Jefferson County,IN,57.8
736,18079,Jennings County,IN,42.2
737,18081,Johnson County,IN,60.9
738,18083,Knox County,IN,50.7
739,18085,Kosciusko County,IN,42.0
740,18087,LaGrange County,IN,23.1
741,18089,Lake County,IN,59.0
742,18091,LaPorte County,IN,58.1
743,18093,Lawrence County,IN,51.0
744,18095,Madison County,IN,54.3
745,18097,Marion County,IN,58.6
746,18099,Marshall County,IN,46.2
747,18101,Martin County,IN,46.4
748,18103,Miami County,IN,41.8
749,18105,Monroe County,IN,60.6
750,18107,Montgomery County,IN,47.3
751,18109,Morgan County,IN,55.9
752,18111,Newton County,IN,33.4
753,18113,Noble County,IN,39.8
754,18115,Ohio County,IN,77.7
755,18117,Orange County,IN,57.5
756,18119,Owen County,IN,43.8
757,18121,Parke County,IN,41.3
758,18123,Perry County,IN,58.7
759,18125,Pike County,IN,59.5
760,18127,Porter County,IN,59.1
761,18129,Posey County,IN,48.8
762,18131,Pulaski County,IN,46.7
763,18133,Putnam County,IN,44.0
764,18135,Randolph County,IN,47.3
765,18137,Ripley County,IN,49.7
766,18139,Rush County,IN,48.3
767,18141,St. Joseph County,IN,60.4
768,18143,Scott County,IN,45.3
769,18145,Shelby County,IN,60.3
770,18147,Spencer County,IN,46.0
771,18149,Starke County,IN,38.4
772,18151,Steuben County,IN,48.8
773,18153,Sullivan County,IN,51.3
